started
2017-1-15T12.12.9.331	Created parser
2017-1-15T12.12.9.331	Assigned names - going to load data
2017-1-15T12.12.9.331	Loading data
2017-1-15T12.12.9.331	Creating stop words manager
2017-1-15T12.12.9.333	Before big loop
2017-1-15T12.12.14.306	Opening sw stream with some words
2017-1-15T12.12.14.307	finalizing stats
2017-1-15T12.12.14.322	At line '53' in file ''	 Word 366397 is in 1 documents
2017-1-15T12.12.14.322	At line '53' in file ''	 Word ajr is in 1 documents
2017-1-15T12.12.14.322	At line '53' in file ''	 Word 485507 is in 1 documents
2017-1-15T12.12.14.322	At line '53' in file ''	 Word newest is in 1 documents
2017-1-15T12.12.14.323	At line '53' in file ''	 Word 5090 is in 1 documents
2017-1-15T12.12.14.323	At line '53' in file ''	 Word 173206 is in 1 documents
2017-1-15T12.12.14.323	At line '53' in file ''	 Word 533560 is in 1 documents
2017-1-15T12.12.14.323	At line '53' in file ''	 Word 244262 is in 1 documents
2017-1-15T12.12.14.323	At line '53' in file ''	 Word 325348 is in 1 documents
2017-1-15T12.12.14.324	At line '53' in file ''	 Word 561602 is in 1 documents
2017-1-15T12.12.14.324	At line '53' in file ''	 Word jock is in 1 documents
2017-1-15T12.12.14.324	At line '53' in file ''	 Word 269305 is in 1 documents
2017-1-15T12.12.14.324	At line '53' in file ''	 Word fearon is in 1 documents
2017-1-15T12.12.14.324	At line '53' in file ''	 Word 379406 is in 1 documents
2017-1-15T12.12.14.325	At line '53' in file ''	 Word 599642 is in 1 documents
2017-1-15T12.12.14.325	At line '53' in file ''	 Word 169199 is in 1 documents
2017-1-15T12.12.14.325	At line '53' in file ''	 Word balanceofpay is in 1 documents
2017-1-15T12.12.14.325	At line '53' in file ''	 Word plowshar is in 1 documents
2017-1-15T12.12.14.325	At line '53' in file ''	 Word 331358 is in 1 documents
2017-1-15T12.12.14.326	At line '53' in file ''	 Word 595625 is in 1 documents
2017-1-15T12.12.14.326	At line '53' in file ''	 Word 205239 is in 1 documents
2017-1-15T12.12.14.326	At line '53' in file ''	 Word annemari is in 1 documents
2017-1-15T12.12.14.326	At line '53' in file ''	 Word anarchic is in 1 documents
2017-1-15T12.12.14.326	At line '53' in file ''	 Word hedley is in 1 documents
